feature,importance
above_sma50,0.066319324
above_sma200,0.04716436
hv_90,0.045366697
macd_hist,0.044332244
macd_signal,0.043809637
52w_pct,0.04117855
hv_60,0.038420476
awesome,0.038383577
roc_30,0.035260007
macd,0.03486043
aroon_down,0.03434577
rsi_14,0.030868132
returns_60d,0.030560836
adx_pos,0.030400533
price_sma50_pct,0.029420473
atr_pct,0.028047595
adx,0.027526757
cmf,0.02691714
hv_20,0.025900815
bb_pct,0.023505706
aroon_up,0.022519246
bb_width,0.020665335
returns_20d,0.020424768
mfi,0.020370258
stoch_d,0.020281387
adx_neg,0.0201874
price_sma20_pct,0.018537927
stoch_k,0.01766389
rsi_7,0.017097019
roc_10,0.015214538
cci,0.015009126
vol_ratio,0.013498771
returns_1d,0.013242731
williams,0.012978239
returns_5d,0.012004768
gap,0.009516903
candle_body,0.008198697
above_sma20,0.0
golden_cross,0.0
death_cross,0.0
